Date,Open,High,Low,Close,Adj Close,Volume
1/5/2006,218.125,218.25,215.238007,216.544998,127.374168,1431824
1/6/2006,216.875,217.488007,211.5,213.199997,125.406586,2965744
1/9/2006,213.770004,216.25,210.125,211.119995,124.183113,3883272
1/10/2006,211.25,212.475006,207.625,209.061996,122.972565,3972648
1/12/2006,206.625,211.125,201.875,209.212006,123.060806,13919696
1/13/2006,210,211.25,205.5,206.470001,121.447922,3608568
1/16/2006,206.375,206.375,200.320007,201.095001,118.28627,4804912
1/17/2006,201.375,205,201.25,202.925003,119.362732,3753056
1/18/2006,202.274994,202.975006,200.261993,202.445007,120.867264,3165120
1/19/2006,202.975006,206.837006,202.975006,206.294998,123.165855,3574728
1/20/2006,206.875,208.731995,204.375,205.5,122.691216,3294240
1/23/2006,204.375,204.375,201.412994,202.770004,121.061272,2280272
1/24/2006,204.375,206.125,203.800003,205.324997,122.586685,1890064
1/25/2006,206.125,207.494995,205.438004,206.399994,123.228523,6365736
1/27/2006,210,210,206.324997,207.395004,123.822601,3003816
1/30/2006,208.175003,209.949997,206.511993,207.363007,123.803452,1383144
1/31/2006,209.949997,209.949997,206.544998,208.800003,124.661423,1503160
2/1/2006,207,209.75,206.300003,208.332993,124.382622,3896696
2/2/2006,208.75,209.5,203.707993,204.600006,122.153893,3135736
2/3/2006,204.988007,205.975006,201.550003,203.850006,121.7061,4357520
2/6/2006,203.738007,210.375,203.294998,209.882996,125.307991,2894976
2/7/2006,210,211.688004,205.533005,209.261993,124.937225,7002784
2/8/2006,208.25,209.011993,206.544998,207.811996,124.071495,3332648
2/10/2006,208.770004,209.75,205.632996,208.699997,124.601746,2728200
2/13/2006,208.699997,208.75,206,206.375,123.213623,2020544
2/14/2006,208.75,208.75,201.75,202.320007,120.792587,6962064
2/15/2006,205.988007,205.988007,200.625,202.419998,120.852364,4209320
2/16/2006,203.125,204.975006,201.5,203.645004,121.58371,5284488
2/17/2006,206.25,207.050003,202.5,203.125,121.27327,2923448
2/20/2006,204.875,206.875,203.425003,206.231995,123.128227,2643608
2/21/2006,206.875,208.875,206.386993,208.25,124.333069,2301240
2/22/2006,208.75,208.75,206.412994,207.731995,124.023788,1156592
2/23/2006,207.5,211.238007,207.5,208.820007,124.673309,4141584
2/24/2006,208.783005,210,207.037994,208.757996,124.636345,1097336
2/27/2006,208.375,211.875,208.300003,211.294998,126.15107,2521112
2/28/2006,211.875,213,208.75,212.600006,126.930145,2821744
3/1/2006,212.5,218.175003,210.908005,217.524994,129.87059,4506152
3/2/2006,218.175003,219.25,215.044998,217.725006,129.98996,3277696
3/3/2006,217.75,217.75,212.169998,213.220001,127.300316,2124440
3/6/2006,214.5,219.125,213.75,218.037994,130.176849,3631584
3/7/2006,217.520004,218.75,215,215.587006,128.71347,1985168
3/8/2006,216.5,217.5,213.125,215.320007,128.554108,3813488
3/9/2006,215,216,211.25,215.606995,128.725479,4662712
3/10/2006,211.5,221.875,211.25,220.457993,131.621704,6434944
3/13/2006,221.725006,230.949997,221.725006,228.574997,136.46785,7178552
3/14/2006,228.113007,228.462006,223.886993,225.395004,134.569199,3477456
